"entry_id","title","category","status","md_path","has_svg","has_final_image","priority","notes"
"A-1","まえがき","common","needs_review","content/entries/common/A-1_preface[AI直].md","True","False","common_review","needs_final_image"
"A-2","この本の読み方","common","needs_review","content/entries/common/A-2_reading_guide[人書].md","True","False","common_review","needs_final_image"
"A-3","図鑑の歩き方","common","needs_review","content/entries/common/A-3_walking_guide[AI整].md","False","False","common_review","missing_svg"
"A-4","体験区分の凡例","common","needs_review","content/entries/common/A-4_experience_legend[AI整].md","False","False","common_review","missing_svg"
"A-5","読者レベルの凡例","common","needs_review","content/entries/common/A-5_reader_level_legend[AI整].md","False","False","common_review","missing_svg"
"A-6","評価日・時変情報の見方","common","needs_review","content/entries/common/A-6_evaluation_date_legend[AI整].md","False","False","common_review","missing_svg"
"A-7","図のタイプ","common","needs_review","content/entries/common/A-7_figure_types_legend[AI整].md","False","False","common_review","missing_svg"
"A-8","色・記号の凡例","common","needs_review","content/entries/common/A-8_color_symbol_legend[AI整].md","False","False","common_review","missing_svg"
"A-9","索引","common","needs_review","content/entries/common/A-9_index[AI整].md","False","False","common_review","missing_svg"
"A-10","更新履歴と更新方針","common","needs_review","content/entries/common/A-10_changelog[AI整].md","False","False","common_review","missing_svg"
"A-11","略称表記","common","needs_review","content/entries/common/A-11_abbreviations[AI整].md","False","False","common_review","missing_svg"
"B-1","Gemini","service","ready","content/entries/service/B-1_gemini[済].md","True","True","pilot","complete"
"B-2","Claude","service","ready","content/entries/service/B-2_claude[済].md","True","True","pilot","complete"
"B-3","ChatGPT","service","ready","content/entries/service/B-3_chatgpt[済].md","True","True","pilot","complete"
"B-4","Cursor","service","ready","content/entries/service/B-4_cursor[済].md","True","True","pilot","complete"
"B-5","GitHub Copilot","service","ready","content/entries/service/B-5_github_copilot[済].md","False","True","ready_missing_svg","final_image_without_svg"
"B-6","Windsurf","service","ready","content/entries/service/B-6_windsurf[済].md","False","True","ready_missing_svg","final_image_without_svg"
"B-7","Claude Code","service","ready","content/entries/service/B-7_claude_code[済].md","False","True","ready_missing_svg","final_image_without_svg"
"B-8","Codex","service","ready","content/entries/service/B-8_codex[済].md","True","True","pilot","complete"
"B-9","v0","service","ready","content/entries/service/B-9_v0[済].md","False","True","ready_missing_svg","final_image_without_svg"
"B-10","Devin","service","ready","content/entries/service/B-10_devin[済].md","False","True","ready_missing_svg","final_image_without_svg"
"B-11","Bolt.new","service","ready","content/entries/service/B-11_bolt_new[済].md","False","True","ready_missing_svg","final_image_without_svg"
"B-12","Perplexity","service","ready","content/entries/service/B-12_perplexity[済].md","False","True","ready_missing_svg","final_image_without_svg"
"B-13","ElevenLabs","service","ready","content/entries/service/B-13_elevenlabs[済].md","False","True","ready_missing_svg","final_image_without_svg"
"B-14","Genspark","service","ready","content/entries/service/B-14_genspark[済].md","False","False","ready_missing_svg","missing_svg"
"B-15","Microsoft Copilot","service","ready","content/entries/service/B-15_microsoft_copilot[済].md","False","False","ready_missing_svg","missing_svg"
"B-16","Microsoft 365 Copilot","service","ready","content/entries/service/B-16_microsoft_365_copilot[済].md","False","False","ready_missing_svg","missing_svg"
"B-17","Edge Copilot","service","ready","content/entries/service/B-17_edge_copilot[済].md","False","False","ready_missing_svg","missing_svg"
"B-18","Aqua Voice","service","ready","content/entries/service/B-18_aqua_voice[済].md","False","False","ready_missing_svg","missing_svg"
"B-19","Claude Cowork","service","ready","content/entries/service/B-19_claude_cowork[済].md","False","False","ready_missing_svg","missing_svg"
"B-20","Vercel","service","ready","content/entries/service/B-20_vercel[済].md","False","False","ready_missing_svg","missing_svg"
"B-21","Netlify","service","ready","content/entries/service/B-21_netlify[済].md","False","False","ready_missing_svg","missing_svg"
"B-22","Cloudflare","service","ready","content/entries/service/B-22_cloudflare[済].md","False","False","ready_missing_svg","missing_svg"
"B-23","AWS","service","ready","content/entries/service/B-23_aws[済].md","False","False","ready_missing_svg","missing_svg"
"B-24","Google Cloud","service","ready","content/entries/service/B-24_google_cloud[済].md","False","False","ready_missing_svg","missing_svg"
"B-25","Azure","service","ready","content/entries/service/B-25_azure[済].md","False","False","ready_missing_svg","missing_svg"
"B-26","Azure OpenAI","service","ready","content/entries/service/B-26_azure_openai[済].md","False","False","ready_missing_svg","missing_svg"
"B-27","Vertex AI","service","ready","content/entries/service/B-27_vertex_ai[済].md","False","False","ready_missing_svg","missing_svg"
"B-28","Render","service","ready","content/entries/service/B-28_render[済].md","False","False","ready_missing_svg","missing_svg"
"B-29","Supabase","service","ready","content/entries/service/B-29_supabase[済].md","False","False","ready_missing_svg","missing_svg"
"B-30","Amazon Bedrock","service","ready","content/entries/service/B-30_amazon_bedrock[済].md","False","False","ready_missing_svg","missing_svg"
"B-31","Excalidraw","service","ready","content/entries/service/B-31_excalidraw[済].md","False","False","ready_missing_svg","missing_svg"
"B-32","Figma","service","ready","content/entries/service/B-32_figma[済].md","False","False","ready_missing_svg","missing_svg"
"B-33","Canva","service","ready","content/entries/service/B-33_canva[済].md","False","False","ready_missing_svg","missing_svg"
"B-40","Reddit","service","ready","content/entries/service/B-40_reddit[済].md","False","False","ready_missing_svg","missing_svg"
"B-41","arXiv","service","ready","content/entries/service/B-41_arxiv[済].md","False","False","ready_missing_svg","missing_svg"
"B-50","Claude の料金プラン","service","ready","content/entries/service/B-50_claude_pricing[済].md","False","False","ready_missing_svg","missing_svg"
"B-51","ChatGPT の料金プラン","service","ready","content/entries/service/B-51_chatgpt_pricing[済].md","False","False","ready_missing_svg","missing_svg"
"B-52","Gemini の料金プラン","service","ready","content/entries/service/B-52_gemini_pricing[済].md","False","False","ready_missing_svg","missing_svg"
"B-60","Suno","service","ready","content/entries/service/B-60_suno[済].md","False","False","ready_missing_svg","missing_svg"
"B-61","ACE-Step 1.5","service","ready","content/entries/service/B-61_ace_step_1_5[済].md","False","False","ready_missing_svg","missing_svg"
"C-1","OpenAI","person_org","ready","content/entries/person/C-1_openai[済].md","True","False","ready_svg_to_image","needs_final_image"
"C-2","Anthropic","person_org","ready","content/entries/person/C-2_anthropic[済].md","True","False","ready_svg_to_image","needs_final_image"
"C-3","Google DeepMind","person_org","ready","content/entries/person/C-3_google_deepmind[済].md","False","False","ready_missing_svg","missing_svg"
"C-4","Meta AI","person_org","ready","content/entries/person/C-4_meta_ai[済].md","False","False","ready_missing_svg","missing_svg"
"C-5","xAI","person_org","ready","content/entries/person/C-5_xai[済].md","False","False","ready_missing_svg","missing_svg"
"C-6","Mistral AI","person_org","needs_review","content/entries/person/C-6_mistral_ai[人書].md","False","False","later","missing_svg"
"C-7","Hugging Face","person_org","ready","content/entries/person/C-7_hugging_face[済].md","False","False","ready_missing_svg","missing_svg"
"C-8","Microsoft AI","person_org","ready","content/entries/person/C-8_microsoft_ai[済].md","False","False","ready_missing_svg","missing_svg"
"C-9","NVIDIA","person_org","ready","content/entries/person/C-9_nvidia[済].md","False","False","ready_missing_svg","missing_svg"
"C-10","Moonshot AI","person_org","needs_review","content/entries/person/C-10_moonshot_ai[人書].md","False","False","later","missing_svg"
"C-11","Z.ai","person_org","needs_review","content/entries/person/C-11_z_ai[人書].md","False","False","later","missing_svg"
"C-12","TSMC","person_org","ready","content/entries/person/C-12_tsmc[済].md","False","False","ready_missing_svg","missing_svg"
"C-13","Groq","person_org","ready","content/entries/person/C-13_groq[済].md","False","False","ready_missing_svg","missing_svg"
"C-14","AMD","person_org","ready","content/entries/person/C-14_amd[済].md","False","False","ready_missing_svg","missing_svg"
"C-50","Sam Altman","person_org","needs_review","content/entries/person/C-50_sam_altman[人書].md","False","False","later","missing_svg"
"C-51","Dario Amodei","person_org","ready","content/entries/person/C-51_dario_amodei[済].md","False","False","ready_missing_svg","missing_svg"
"C-52","Demis Hassabis","person_org","ready","content/entries/person/C-52_demis_hassabis[済].md","False","False","ready_missing_svg","missing_svg"
"C-53","Andrej Karpathy","person_org","ready","content/entries/person/C-53_andrej_karpathy[済].md","False","False","ready_missing_svg","missing_svg"
"C-54","Ilya Sutskever","person","ready","content/entries/person/C-54_ilya_sutskever[済].md","False","False","ready_missing_svg","missing_svg"
"C-55","Mira Murati","person_org","ready","content/entries/person/C-55_mira_murati[済].md","False","False","ready_missing_svg","missing_svg"
"C-56","Yann LeCun","person_org","ready","content/entries/person/C-56_yann_lecun[済].md","False","False","ready_missing_svg","missing_svg"
"C-57","Geoffrey Hinton","person_org","ready","content/entries/person/C-57_geoffrey_hinton[済].md","False","False","ready_missing_svg","missing_svg"
"C-58","Elon Musk","person_org","ready","content/entries/person/C-58_elon_musk[済].md","False","False","ready_missing_svg","missing_svg"
"C-59","Jensen Huang","person_org","ready","content/entries/person/C-59_jensen_huang[済].md","False","False","ready_missing_svg","missing_svg"
"C-60","Ray Kurzweil","person_org","ready","content/entries/person/C-60_ray_kurzweil[済].md","False","False","ready_missing_svg","missing_svg"
"C-80","AI大学","person_org","ready","content/entries/person/C-80_ai_daigaku[済].md","False","False","ready_missing_svg","missing_svg"
"C-81","にゃんた","person_org","ready","content/entries/person/C-81_nyanta[済].md","False","False","ready_missing_svg","missing_svg"
"C-82","まさお","person_org","ready","content/entries/person/C-82_masao[済].md","False","False","ready_missing_svg","missing_svg"
"C-83","AI の羅針盤","person_org","drafting","","False","False","later","missing_svg"
"D-1","Gemini 2 系","model","needs_review","content/entries/model/D-1_gemini2[人書].md","False","False","later","missing_svg"
"D-2","Gemini 2.5 系","model","needs_review","content/entries/model/D-2_gemini25[人書].md","False","False","later","missing_svg"
"D-3","Gemini 3 系","model","drafting","","False","False","later","missing_svg"
"D-4","Gemini 3.1 系","model","needs_review","content/entries/model/D-4_gemini_3_1[人書].md","False","False","later","missing_svg"
"D-10","Claude 3 系","model","skeleton","","False","False","later","missing_svg"
"D-11","Claude 3.5 系","model","ready","content/entries/model/D-11_claude35[済].md","True","False","ready_svg_to_image","needs_final_image"
"D-12","Claude 4 系","model","ready","content/entries/model/D-12_claude4[済].md","True","True","pilot","complete"
"D-13","Claude 4.5 系","model","skeleton","","False","False","later","missing_svg"
"D-14","Claude Mythos Preview","model","needs_review","content/entries/model/D-14_claude_mythos_preview[人書].md","False","False","later","missing_svg"
"D-20","GPT-5 系","model","needs_review","content/entries/model/D-20_gpt5[人書].md","False","False","later","missing_svg"
"D-21","GPT-4 系","model","needs_review","content/entries/model/D-21_gpt4[人書].md","False","False","later","missing_svg"
"D-22","o1 系","model","needs_review","content/entries/model/D-22_o1[人書].md","False","False","later","missing_svg"
"D-23","o3 系","model","skeleton","","False","False","later","missing_svg"
"D-24","GPT-3 系","model","needs_review","content/entries/model/D-24_gpt3[人書].md","False","False","later","missing_svg"
"D-25","GPT-1 / GPT-2 系","model","ready","content/entries/model/D-25_gpt1_gpt2[済].md","False","False","ready_missing_svg","missing_svg"
"D-26","gpt-oss","model","ready","content/entries/model/D-26_gpt_oss[済].md","False","False","ready_missing_svg","missing_svg"
"D-30","Grok 系","model","ready","content/entries/model/D-30_grok[済].md","False","False","ready_missing_svg","missing_svg"
"D-35","Cursor Composer","model","ready","content/entries/model/D-35_cursor_composer[済].md","False","False","ready_missing_svg","missing_svg"
"D-40","Llama 系","model","ready","content/entries/model/D-40_llama[済].md","False","False","ready_missing_svg","missing_svg"
"D-41","Mistral 系","model","ready","content/entries/model/D-41_mistral[済].md","False","False","ready_missing_svg","missing_svg"
"D-42","Gemma 系","model","ready","content/entries/model/D-42_gemma[済].md","False","False","ready_missing_svg","missing_svg"
"D-43","Qwen 系","model","ready","content/entries/model/D-43_qwen[済].md","False","False","ready_missing_svg","missing_svg"
"D-44","Kimi","model","ready","content/entries/model/D-44_kimi[済].md","False","False","ready_missing_svg","missing_svg"
"D-45","GLM","model","ready","content/entries/model/D-45_glm[済].md","False","False","ready_missing_svg","missing_svg"
"D-46","DeepSeek V3","model","ready","content/entries/model/D-46_deepseek_v3[済].md","False","False","ready_missing_svg","missing_svg"
"D-47","DeepSeek R1","model","ready","content/entries/model/D-47_deepseek_r1[済].md","False","False","ready_missing_svg","missing_svg"
"D-50","DALL-E","model","ready","content/entries/model/D-50_dall_e[済].md","False","False","ready_missing_svg","missing_svg"
"D-51","Imagen","model","ready","content/entries/model/D-51_imagen[済].md","False","False","ready_missing_svg","missing_svg"
"D-52","Sora","model","ready","content/entries/model/D-52_sora[済].md","False","False","ready_missing_svg","missing_svg"
"D-53","Veo","model","ready","content/entries/model/D-53_veo[済].md","False","False","ready_missing_svg","missing_svg"
"D-54","Stable Diffusion","model","ready","content/entries/model/D-54_stable_diffusion[済].md","False","False","ready_missing_svg","missing_svg"
"D-55","Nano Banana","model","ready","content/entries/model/D-55_nano_banana[済].md","False","False","ready_missing_svg","missing_svg"
"D-56","Seedance","model","ready","content/entries/model/D-56_seedance[済].md","False","False","ready_missing_svg","missing_svg"
"D-57","Flow","model","ready","content/entries/model/D-57_flow[済].md","False","False","ready_missing_svg","missing_svg"
"D-58","Whisk","model","ready","content/entries/model/D-58_whisk[済].md","False","False","ready_missing_svg","missing_svg"
"D-60","AlphaGo","model","ready","content/entries/model/D-60_alphago[済].md","False","False","ready_missing_svg","missing_svg"
"D-70","Amical","model","needs_review","content/entries/model/D-70_amical[人書].md","False","False","later","missing_svg"
"D-71","Whisper","model","ready","content/entries/model/D-71_whisper[済].md","False","False","ready_missing_svg","missing_svg"
"E-1","SWE-Bench","benchmark","ready","content/entries/benchmark/E-1_swe_bench[済].md","True","False","ready_svg_to_image","needs_final_image"
"E-2","SWE-Bench Verified","benchmark","ready","content/entries/benchmark/E-2_swe_bench_verified[済].md","False","False","ready_missing_svg","missing_svg"
"E-3","Terminal-Bench","benchmark","ready","content/entries/benchmark/E-3_terminal_bench[済].md","False","False","ready_missing_svg","missing_svg"
"E-4","HumanEval","benchmark","ready","content/entries/benchmark/E-4_humaneval[済].md","False","False","ready_missing_svg","missing_svg"
"E-20","MMLU","benchmark","ready","content/entries/benchmark/E-20_mmlu[済].md","False","False","ready_missing_svg","missing_svg"
"E-21","MMLU-Pro","benchmark","ready","content/entries/benchmark/E-21_mmlu_pro[済].md","False","False","ready_missing_svg","missing_svg"
"E-22","GPQA","benchmark","ready","content/entries/benchmark/E-22_gpqa[済].md","False","False","ready_missing_svg","missing_svg"
"E-23","GSM8K","benchmark","ready","content/entries/benchmark/E-23_gsm8k[済].md","False","False","ready_missing_svg","missing_svg"
"E-24","MATH","benchmark","ready","content/entries/benchmark/E-24_math[済].md","False","False","ready_missing_svg","missing_svg"
"E-25","AIME","benchmark","ready","content/entries/benchmark/E-25_aime[済].md","False","False","ready_missing_svg","missing_svg"
"E-26","Humanity's Last Exam","benchmark","ready","content/entries/benchmark/E-26_humanity_s_last_exam[済].md","False","False","ready_missing_svg","missing_svg"
"E-27","IQ Bench","benchmark","ready","content/entries/benchmark/E-27_iq_bench[済].md","False","False","ready_missing_svg","missing_svg"
"E-30","TAU-Bench","benchmark","ready","content/entries/benchmark/E-30_tau_bench[済].md","False","False","ready_missing_svg","missing_svg"
"E-31","WebArena","benchmark","needs_review","content/entries/benchmark/E-31_webarena[人書].md","False","False","later","missing_svg"
"E-32","GAIA","benchmark","needs_review","content/entries/benchmark/E-32_gaia[人書].md","False","False","later","missing_svg"
"E-33","AgentBench","benchmark","needs_review","content/entries/benchmark/E-33_agentbench[人書].md","False","False","later","missing_svg"
"E-34","OSWorld","benchmark","needs_review","content/entries/benchmark/E-34_osworld[人書].md","False","False","later","missing_svg"
"E-50","Chatbot Arena","benchmark","ready","content/entries/benchmark/E-50_chatbot_arena[済].md","False","False","ready_missing_svg","missing_svg"
"E-51","LMSYS Arena","benchmark","needs_review","content/entries/benchmark/E-51_lmsys_arena[人書].md","False","False","later","missing_svg"
"F-1","JavaScript","term_tool","ready","content/entries/term_tool/F-1_javascript[済].md","True","True","pilot","complete"
"F-2","TypeScript","term_tool","ready","content/entries/term_tool/F-2_typescript[済].md","True","True","pilot","complete"
"F-3","Python","term_tool","ready","content/entries/term_tool/F-3_python[済].md","False","False","ready_missing_svg","missing_svg"
"F-4","HTML","term_tool","ready","content/entries/term_tool/F-4_html[済].md","False","False","ready_missing_svg","missing_svg"
"F-5","CSS","term_tool","ready","content/entries/term_tool/F-5_css[済].md","False","False","ready_missing_svg","missing_svg"
"F-6","Markdown","term_tool","ready","content/entries/term_tool/F-6_markdown[済].md","False","False","ready_missing_svg","missing_svg"
"F-7","YAML","term_tool","needs_review","content/entries/term_tool/F-7_yaml[人書].md","False","False","later","missing_svg"
"F-8","JSON","term_tool","ready","content/entries/term_tool/F-8_json[済].md","False","False","ready_missing_svg","missing_svg"
"F-9","SVG","term_tool","ready","content/entries/term_tool/F-9_svg[済].md","False","False","ready_missing_svg","missing_svg"
"F-10","React","term_tool","ready","content/entries/term_tool/F-10_react[済].md","False","False","ready_missing_svg","missing_svg"
"F-11","Next.js","term_tool","ready","content/entries/term_tool/F-11_next_js[済].md","False","False","ready_missing_svg","missing_svg"
"F-12","Electron","term_tool","ready","content/entries/term_tool/F-12_electron[済].md","False","False","ready_missing_svg","missing_svg"
"F-13","Tauri","term_tool","ready","content/entries/term_tool/F-13_tauri[済].md","False","False","ready_missing_svg","missing_svg"
"F-14","three.js","term_tool","ready","content/entries/term_tool/F-14_three_js[済].md","False","False","ready_missing_svg","missing_svg"
"F-15","shadcn/ui","term_tool","needs_review","content/entries/term_tool/F-15_shadcn_ui[人書].md","False","False","later","missing_svg"
"F-16","Tailwind CSS","term_tool","ready","content/entries/term_tool/F-16_tailwind_css[済].md","False","False","ready_missing_svg","missing_svg"
"F-17","Astro","term_tool","ready","content/entries/term_tool/F-17_astro[済].md","False","False","ready_missing_svg","missing_svg"
"F-20","ESLint","term_tool","ready","content/entries/term_tool/F-20_eslint[済].md","False","False","ready_missing_svg","missing_svg"
"F-21","Prettier","term_tool","ready","content/entries/term_tool/F-21_prettier[済].md","False","False","ready_missing_svg","missing_svg"
"F-30","VS Code","term_tool","ready","content/entries/term_tool/F-30_vs_code[済].md","False","False","ready_missing_svg","missing_svg"
"F-34","VS Code 拡張機能","term_tool","drafting","","False","False","later","missing_svg"
"F-35","Markdown Preview Enhanced","term_tool","ready","content/entries/term_tool/F-35_markdown_preview_enhanced[済].md","False","False","ready_missing_svg","missing_svg"
"F-36","Git Graph","term_tool","ready","content/entries/term_tool/F-36_git_graph[済].md","False","False","ready_missing_svg","missing_svg"
"F-37","Japanese Language Pack for VS Code","term_tool","ready","content/entries/term_tool/F-37_japanese_language_pack_for_vs_code[済].md","False","False","ready_missing_svg","missing_svg"
"F-38","Markdown All in One","term_tool","ready","content/entries/term_tool/F-38_markdown_all_in_one[済].md","False","False","ready_missing_svg","missing_svg"
"F-40","npm","term_tool","ready","content/entries/term_tool/F-40_npm[済].md","False","False","ready_missing_svg","missing_svg"
"F-41","Vite","term_tool","ready","content/entries/term_tool/F-41_vite[済].md","False","False","ready_missing_svg","missing_svg"
"F-42","ビルド","term_tool","ready","content/entries/term_tool/F-42_build[済].md","False","False","ready_missing_svg","missing_svg"
"F-44","pnpm","term_tool","ready","content/entries/term_tool/F-44_pnpm[済].md","False","False","ready_missing_svg","missing_svg"
"F-50","git","term_tool","ready","content/entries/term/F-50_git[済].md","True","False","ready_svg_to_image","needs_final_image"
"F-51","git push","term_tool","ready","content/entries/term_tool/F-51_git_push[済].md","False","False","ready_missing_svg","missing_svg"
"F-52","git pull","term_tool","ready","content/entries/term_tool/F-52_git_pull[済].md","False","False","ready_missing_svg","missing_svg"
"F-53","branch","term_tool","ready","content/entries/term_tool/F-53_branch[済].md","False","False","ready_missing_svg","missing_svg"
"F-54","commit","term_tool","ready","content/entries/term_tool/F-54_commit[済].md","False","False","ready_missing_svg","missing_svg"
"F-55","merge","term_tool","ready","content/entries/term_tool/F-55_merge[済].md","False","False","ready_missing_svg","missing_svg"
