priority,entry_id,title,run001_wrong_top1,run001_confidence,regen_status,regen_wave,semantic_goal,must_show,must_avoid,retest_confusers,pass_condition,scope_note
P0,B-26,Azure OpenAI,B-27 Vertex AI,72,planned,semantic-regen-001,Azure管理のOpenAIモデル導入として見せる,OpenAI直APIとの対比;Azure管理境界;リージョン/SLA/監査/監視;企業導入,Google風sparkle;Vertex AI風モデルhub;汎用クラウドAI図だけ,B-24 Google Cloud;B-25 Azure;B-27 Vertex AI;B-1 Gemini,top1 correct and confidence >=70; no high-confidence Vertex AI guess,既存プロンプトが抽象化されすぎているため本文固有の判断軸を戻す
P0,B-31,Excalidraw,B-6 Windsurf,88,planned,semantic-regen-001,手描き風ラフ作図ツールとして見せる,手描きホワイトボード;ラフな箱と矢印;付箋;ペン;Before text memo to After diagram,コードエディタ;タスクカード;アプリ構築画面;agentic workflow,B-6 Windsurf;B-32 Figma;B-33 Canva;F-140 Mermaid,top1 correct and confidence >=70; no high-confidence Windsurf guess,ホワイトボード/ラフ図の視覚語彙を強くする
P0,B-5,GitHub Copilot,B-4 Cursor,70,planned,semantic-regen-001,GitHub文脈の補完/レビュー支援として見せる,ghost completion;PR review;repo branch;issue to code suggestion,standalone AI IDE;single huge editor;project-wide agent flow,B-4 Cursor;B-6 Windsurf;B-7 Claude Code;B-8 Codex,top1 correct and confidence >=70; no high-confidence Cursor guess,エディタ製品ではなくGitHub開発フローに寄せる
P0,B-52,Gemini の料金プラン,B-1 Gemini,95,planned,semantic-regen-001,料金プラン比較として見せる,3 tier plan ladder;price tags;usage meters;feature range bars;light user vs heavy user,Gemini chat screen;Gemini model hub;Vertex AI API pricing,B-1 Gemini;B-27 Vertex AI;B-50 Claude料金;B-51 ChatGPT料金,top1 correct and confidence >=70; no high-confidence Gemini-general guess,ブランド一般ではなく料金体系の絵にする
P0,B-6,Windsurf,B-4 Cursor,74,planned,semantic-regen-001,agentic cascade / project-wide flowとして見せる,task decomposition;multi-file changes;test run;browser preview;result loop,single editor UI;inline completion;Cursor-like chat editor,B-4 Cursor;B-5 GitHub Copilot;B-7 Claude Code;B-8 Codex,top1 correct and confidence >=70; no high-confidence Cursor guess,エディター同士の混同だが高確信なのでWave 1で直す
P0,D-22,o1 系,D-71 Whisper,84,planned,semantic-regen-001,reasoning model seriesとして見せる,slow/deep reasoning comparison;logic/math/code optimization cards;reasoning ladder;variant staircase,microphone;waveform;subtitle;speaker;audio UI,D-20 GPT-5系;D-21 GPT-4系;D-23 o3系;D-71 Whisper,top1 correct and confidence >=70; no high-confidence Whisper guess,音声語彙を完全に禁止する
P0,D-53,Veo,D-51 Imagen,82,planned,semantic-regen-001,動画生成モデルとして見せる,frame strip;playhead;camera path;motion arrows;scene consistency;model engine,still image gallery;image variation grid only;static before/after only,D-51 Imagen;D-52 Sora;D-56 Seedance;D-57 Flow,top1 correct and confidence >=70; no high-confidence Imagen guess,時間軸を画像の主役にする
P0,D-58,Whisk,D-57 Flow,76,planned,semantic-regen-001,画像リミックスツールとして見せる,multiple reference image cards;subject/scene/style inputs;mixing funnel;composite image variants,timeline;playhead;video frame strip;camera movement,D-51 Imagen;D-53 Veo;D-55 Nano Banana;D-57 Flow,top1 correct and confidence >=70; no high-confidence Flow guess,動画制作ではなく画像素材の合成に寄せる
P0,D-70,Amical,D-58 Whisk,83,planned_scope_resolved,semantic-regen-001,local-first dictation/note-taking appとして見せる,voice input;local processing boundary;note output;privacy lock;desktop app context,image remix cards;generated image variants;Whisk/Imagen visual vocabulary;medical AI solution workflow,D-58 Whisk;D-71 Whisper;B-18 Aqua Voice;B-13 ElevenLabs,top1 correct and confidence >=70; no high-confidence Whisk guess; final promotion requires entry text reconciliation,brand audit is treated as source of truth for this image wave; current entry prose still needs follow-up reconciliation
P1,D-51,Imagen,D-57 Flow,78,passed,semantic-regen-002,画像生成モデルとしてFlowとの区別を強める,still image generation;image model engine;single image outputs,workflow/client orchestration;video timeline;creative tool UI,D-57 Flow;D-55 Nano Banana;D-58 Whisk;D-53 Veo,top1 correct and confidence >=70 passed,found during D53_v4 focused retest; wave 2 blind retest top1 confidence 78
P1,D-57,Flow,D-51 Imagen,72,passed_v2,semantic-regen-002,動画制作クライアント/ワークフローツールとしてImagenとの差を強める,client workflow;scene planning;Veo-based tool handle,static image generation;still image transformation only,D-51 Imagen;D-53 Veo;D-56 Seedance;D-58 Whisk,top1 correct and confidence >=70 passed,"found during D53_v4 focused retest; first candidate confused with Veo, v2 focused retest top1 confidence 78"
P0,J-72,H100,J-73 Blackwell,low,passed_v2,semantic-regen-002,H100をデータセンター向けGPU製品/クラスタとしてBlackwellと区別する,single accelerator board;many H100 rack modules;NVLink-like interconnect;LLM training job;inference endpoint,Blackwell generation timeline;GB200 superchip;consumer RTX;generic CPU,J-73 Blackwell;J-74 RTX シリーズ;J-75 Tensor コア;J-77 GPU (概念);J-70 VRAM,top1 correct and confidence >=70 passed,"semantic audit P0 plus quality low/color fail; first candidate weak at 63, v2 focused retest top1 confidence 82"
P0,J-73,Blackwell,J-72 H100,low,passed,semantic-regen-002,BlackwellをH100後継のGPU世代/アーキテクチャとして見せる,generation timeline;post-Hopper leap;B200/GB200-like module;two accelerator dies;dense memory;interconnect fabric,plain H100 cluster only;single generic GPU;consumer RTX;CPU-only diagram,J-72 H100;J-74 RTX シリーズ;J-75 Tensor コア;J-77 GPU (概念);J-70 VRAM,top1 correct and confidence >=70 passed,semantic audit P0 plus quality low/color fail; v2 focused retest top1 confidence 86
P0,F-84,Ghostty,J-91 CLI,low,passed,semantic-regen-002,Ghosttyを高速ターミナルエミュレータ外箱として見せる,terminal app frame;tabs;split panes;shell prompt strokes;long output scroll;GPU rendering;settings panel,black full-screen terminal;bash/PowerShell as main subject;WSL system diagram;AI IDE,F-81 bash;F-82 WSL;F-83 PowerShell;J-91 CLI;B-7 Claude Code,top1 correct and confidence >=70 passed,quality low and semantic risk; wave 2 blind retest top1 confidence 92
P1,B-1,Gemini,B-31 Excalidraw,38,passed,semantic-regen-003,Geminiを4入口を持つGoogle AIアシスタントブランドとして見せる,consumer chat;Android assistant;Workspace docs/mail;API/cloud connector,whiteboard/design canvas;diagramming tool;pricing ladder,B-2 Claude;B-3 ChatGPT;B-27 Vertex AI;B-31 Excalidraw;B-52 Gemini料金,top1 correct and confidence >=70,Run 001 generic; confused with diagramming/design tools | semantic-regen-003 final: blind retest passed; staged in final_candidates pending user visual approval
P1,B-2,Claude,B-5 GitHub Copilot,50,passed_after_iteration,semantic-regen-003,Claudeを長文/Artifacts/API/Claude Codeを持つ汎用アシスタントとして見せる,long documents;artifact preview;conversation;small coding branch;API integration,GitHub Copilot completion;repo-only workflow;coding-only assistant,B-3 ChatGPT;B-5 GitHub Copilot;B-7 Claude Code;B-8 Codex;B-19 Claude Cowork,top1 correct and confidence >=70,Run 001 generic; coding assistant scene dominated | semantic-regen-003 final: blind retest passed; staged in final_candidates pending user visual approval
P1,B-3,ChatGPT,B-5 GitHub Copilot,44,passed,semantic-regen-003,ChatGPTを一般チャット/Custom GPT/API入口を持つOpenAIサービスとして見せる,chat;document drafting;Custom GPT card;API connector;model foundation,IDE-only screen;PR review;repo branch;Copilot completion,B-2 Claude;B-5 GitHub Copilot;B-7 Claude Code;B-8 Codex;B-51 ChatGPT料金,top1 correct and confidence >=70,Run 001 generic; coding dashboard dominated | semantic-regen-003 final: blind retest passed; staged in final_candidates pending user visual approval
P1,B-10,Devin,B-19 Claude Cowork,66,passed_after_iteration,semantic-regen-003,Devinを人が離れてもPRまで進める自律AIエンジニアとして見せる,issue handoff;investigate-edit-test loop;PR review card;human only at start/end,coworking pair;meeting collaboration;generic coding helper,B-19 Claude Cowork;B-7 Claude Code;B-8 Codex;B-4 Cursor;B-14 Genspark,top1 correct and confidence >=70,Run 001 generic; collaboration scene dominated | semantic-regen-003 final: blind retest passed; staged in final_candidates pending user visual approval
P1,B-14,Genspark,B-10 Devin,58,passed_after_iteration,semantic-regen-003,Gensparkを検索/複数LLMからSparkpage/Slidesへ出力するサービスとして見せる,web search lanes;multiple model lanes;Sparkpage report;slide deck branch;task output card,repo PR loop;software agent;coding task workflow,B-10 Devin;B-12 Perplexity;B-3 ChatGPT;B-8 Codex;B-7 Claude Code,top1 correct and confidence >=70,Run 001 generic; autonomous software-agent scene dominated | semantic-regen-003 final: blind retest passed; staged in final_candidates pending user visual approval
